Year,Crimes,Value,Sex,Actual Total
2019,Murder,7,Female,7
2019,Rape,4.46,Female,446
2019,Outrage of Modesty,20.18,Female,2018
2019,Robbery,21,Female,21
2019,Snatch Theft,24,Female,24
2019,Rioting,0.12,Female,12
2019,Serious Hurt,0.84,Female,84
2019,Cheating & Related,48.14,Female,4814
2019,Murder,5,Male,5
2019,Rape,0,Male,0
2019,Outrage of Modesty,2.64,Male,264
2019,Robbery,55,Male,55
2019,Snatch Theft,14,Male,14
2019,Rioting,1.7,Male,170
2019,Serious Hurt,4.1,Male,410
2019,Cheating & Related,68.79,Male,6879
